name,type,lat,lng
ชุมชนคลองมะนาว,ชุมชนแออัด,13.7943267269002,100.50192241183282
ชุมชนคลองสวนพริก,ชุมชนเมือง,13.793923422893466,100.49547760667296
ชุมชนวัดบางพลัด,ชุมชนแออัด,13.792561614492156,100.49978474993327
ชุมชนวัดรวกบางบำหรุ,ชุมชนแออัด,13.783535379278266,100.48138701193342
ชุมชนโค้งถ่าน,ชุมชนแออัด,13.767253174997032,100.48971635727321
ชุมชนจรัญวิถี 74,ชุมชนแออัด,13.790828529469639,100.50732541871426
ชุมชนจรัญสนิทวงศ์ 72,ชุมชนแออัด,13.789435297871263,100.5053025423322
ชุมชนสะพานยาว,ชุมชนแออัด,13.787966464957604,100.50399887748777
ชุมชนวัดเทพากร,ชุมชนแออัด,13.786012529590364,100.50182852706864
ชุมชนวัดภคินีนาถ,ชุมชนแออัด,13.7806798532631,100.50006844490406
ชุมชนวัดบวรมงคล,ชุมชนแออัด,13.776270236944583,100.49701956549927
ชุมชนบ้านปูน,ชุมชนแออัด,13.772208035086157,100.4946203870275
ชุมชนวัดพระยาศิริไอยสวรรค์,ชุมชนแออัด,13.769418429855845,100.49322322961177
ชุมชนวัดดาวดึงษาราม,ชุมชนแออัด,13.767863586274348,100.4923634293827
ชุมชนคลองเจ้าครุฑ,ชุมชนแออัด,13.764355910926056,100.49111872631043
ชุมชนศรีอุลัย,ชุมชนแออัด,13.768591494843808,100.49120567838158
ชุมชนมัสยิดบางอ้อ จรัญสนิทวงศ์ 86,ชุมชนแออัด,13.796742150261593,100.51217118558854
ชุมชนวัดเทพนารี,ชุมชนแออัด,13.784187893837585,100.50124171477442
ชุมชนเจ้าพระยาสยาม,ชุมชนแออัด,13.78399239459395,100.49865084252787
ชุมชนดวงดี,ชุมชนแออัด,13.794410800334324,100.49634376536271
ชุมชนวัดภาณุรังษี,ชุมชนแออัด,13.78836023748943,100.49724050769997
ชุมชนแสงทอง,ชุมชนแออัด,13.800617330553221,100.50451115456359
ชุมชนคลองบางพระครู,ชุมชนแออัด,13.795765991246261,100.50074120934327
ชุมชนมะพร้าวคู่,ชุมชนแออัด,13.781898686213715,100.4848188793319
ชุมชนโค้งมะขาม,ชุมชนแออัด,13.783169803774976,100.48566301319069
